exp_name,problem,pc_train,pc_val,lr,num_trainimages,epochs,pretrained
resnet50_set1_pretrained0_lr0.001_numtrain28000_augment1_epochmult10_v0,1,0.9387142658233644,0.9407142996788024,0.001,28000,10,0
resnet50_set1_pretrained0_lr0.0006_numtrain28000_augment1_epochmult10_v0,1,0.9430000185966492,0.9423214197158812,0.0006,28000,10,0
resnet50_set1_pretrained0_lr0.0003_numtrain28000_augment1_epochmult10_v1,1,0.9557856917381288,0.9544642567634584,0.0003,28000,10,0
resnet50_set2_pretrained0_lr0.001_numtrain28000_augment1_epochmult10_v0,2,0.9998571276664734,1.0,0.001,28000,10,0
resnet50_set2_pretrained0_lr0.0006_numtrain28000_augment1_epochmult10_v0,2,0.9999642968177797,1.0,0.0006,28000,10,0
resnet50_set2_pretrained0_lr0.0003_numtrain28000_augment1_epochmult10_v1,2,0.9998928308486938,1.0,0.0003,28000,10,0
resnet50_set3_pretrained0_lr0.001_numtrain28000_augment1_epochmult10_v0,3,0.9999285340309144,1.0,0.001,28000,10,0
resnet50_set3_pretrained0_lr0.0006_numtrain28000_augment1_epochmult10_v0,3,0.9999285340309144,1.0,0.0006,28000,10,0
resnet50_set3_pretrained0_lr0.0003_numtrain28000_augment1_epochmult10_v0,3,0.9998214244842528,0.999642848968506,0.0003,28000,10,0
resnet50_set4_pretrained0_lr0.001_numtrain28000_augment1_epochmult10_v0,4,1.0,1.0,0.001,28000,10,0
resnet50_set4_pretrained0_lr0.0006_numtrain28000_augment1_epochmult10_v0,4,1.0,1.0,0.0006,28000,10,0
resnet50_set4_pretrained0_lr0.0003_numtrain28000_augment1_epochmult10_v0,4,0.9999642968177797,1.0,0.0003,28000,10,0
resnet50_set5_pretrained0_lr0.001_numtrain28000_augment1_epochmult10_v0,5,0.9039642810821532,0.9055356979370116,0.001,28000,10,0
resnet50_set5_pretrained0_lr0.0006_numtrain28000_augment1_epochmult10_v0,5,0.9064642786979676,0.9049999713897704,0.0006,28000,10,0
resnet50_set5_pretrained0_lr0.0003_numtrain28000_augment1_epochmult10_v0,5,0.8964642882347107,0.8942856788635254,0.0003,28000,10,0
resnet50_set6_pretrained0_lr0.001_numtrain28000_augment1_epochmult10_v0,6,0.8203928470611572,0.8069642782211304,0.001,28000,10,0
resnet50_set6_pretrained0_lr0.0006_numtrain28000_augment1_epochmult10_v0,6,0.8282142877578735,0.8069642782211304,0.0006,28000,10,0
resnet50_set6_pretrained0_lr0.0003_numtrain28000_augment1_epochmult10_v0,6,0.8345714211463928,0.8014285564422607,0.0003,28000,10,0
resnet50_set7_pretrained0_lr0.001_numtrain28000_augment1_epochmult10_v0,7,0.9574285745620728,0.9610714316368104,0.001,28000,10,0
resnet50_set7_pretrained0_lr0.0006_numtrain28000_augment1_epochmult10_v0,7,0.9382857084274292,0.9419642686843872,0.0006,28000,10,0
resnet50_set7_pretrained0_lr0.0003_numtrain28000_augment1_epochmult10_v0,7,0.7093571424484253,0.6591071486473083,0.0003,28000,10,0
resnet50_set8_pretrained0_lr0.001_numtrain28000_augment1_epochmult10_v0,8,0.9981428384780884,0.99785715341568,0.001,28000,10,0
resnet50_set8_pretrained0_lr0.0006_numtrain28000_augment1_epochmult10_v0,8,0.9981785416603088,0.9969642758369446,0.0006,28000,10,0
resnet50_set8_pretrained0_lr0.0003_numtrain28000_augment1_epochmult10_v0,8,0.9965357184410096,0.9960713982582092,0.0003,28000,10,0
resnet50_set9_pretrained0_lr0.001_numtrain28000_augment1_epochmult10_v0,9,0.999750018119812,0.9998214244842528,0.001,28000,10,0
resnet50_set9_pretrained0_lr0.0006_numtrain28000_augment1_epochmult10_v0,9,0.9998571276664734,0.9994642734527588,0.0006,28000,10,0
resnet50_set9_pretrained0_lr0.0003_numtrain28000_augment1_epochmult10_v0,9,0.9998928308486938,0.9998214244842528,0.0003,28000,10,0
resnet50_set10_pretrained0_lr0.001_numtrain28000_augment1_epochmult10_v0,10,0.9985713958740234,0.9989285469055176,0.001,28000,10,0
resnet50_set10_pretrained0_lr0.0006_numtrain28000_augment1_epochmult10_v0,10,0.9992856979370116,0.9992856979370116,0.0006,28000,10,0
resnet50_set10_pretrained0_lr0.0003_numtrain28000_augment1_epochmult10_v0,10,0.9993214011192322,0.9992856979370116,0.0003,28000,10,0
resnet50_set11_pretrained0_lr0.001_numtrain28000_augment1_epochmult10_v0,11,0.9998928308486938,1.0,0.001,28000,10,0
resnet50_set11_pretrained0_lr0.0006_numtrain28000_augment1_epochmult10_v0,11,0.9999285340309144,1.0,0.0006,28000,10,0
resnet50_set11_pretrained0_lr0.0003_numtrain28000_augment1_epochmult10_v0,11,0.9999642968177797,0.9998214244842528,0.0003,28000,10,0
resnet50_set12_pretrained0_lr0.001_numtrain28000_augment1_epochmult10_v0,12,0.9999642968177797,1.0,0.001,28000,10,0
resnet50_set12_pretrained0_lr0.0006_numtrain28000_augment1_epochmult10_v0,12,0.9998571276664734,1.0,0.0006,28000,10,0
resnet50_set12_pretrained0_lr0.0003_numtrain28000_augment1_epochmult10_v0,12,1.0,1.0,0.0003,28000,10,0
resnet50_set13_pretrained0_lr0.001_numtrain28000_augment1_epochmult10_v0,13,0.998535692691803,0.99785715341568,0.001,28000,10,0
resnet50_set13_pretrained0_lr0.0006_numtrain28000_augment1_epochmult10_v0,13,0.9991428256034852,0.9985713958740234,0.0006,28000,10,0
resnet50_set13_pretrained0_lr0.0003_numtrain28000_augment1_epochmult10_v0,13,0.9996071457862854,0.9983928203582764,0.0003,28000,10,0
resnet50_set14_pretrained0_lr0.001_numtrain28000_augment1_epochmult10_v0,14,0.9988214373588562,0.9992856979370116,0.001,28000,10,0
resnet50_set14_pretrained0_lr0.0006_numtrain28000_augment1_epochmult10_v0,14,0.998964250087738,0.9987499713897704,0.0006,28000,10,0
resnet50_set14_pretrained0_lr0.0003_numtrain28000_augment1_epochmult10_v0,14,0.9988571405410768,0.9992856979370116,0.0003,28000,10,0
resnet50_set15_pretrained0_lr0.001_numtrain28000_augment1_epochmult10_v0,15,0.9964285492897034,0.998035728931427,0.001,28000,10,0
resnet50_set15_pretrained0_lr0.0006_numtrain28000_augment1_epochmult10_v0,15,0.9968928694725036,0.9960713982582092,0.0006,28000,10,0
resnet50_set15_pretrained0_lr0.0003_numtrain28000_augment1_epochmult10_v0,15,0.9976428747177124,0.9966071248054504,0.0003,28000,10,0
resnet50_set16_pretrained0_lr0.001_numtrain28000_augment1_epochmult10_v0,16,0.9999285340309144,1.0,0.001,28000,10,0
resnet50_set16_pretrained0_lr0.0006_numtrain28000_augment1_epochmult10_v0,16,0.9998571276664734,1.0,0.0006,28000,10,0
resnet50_set16_pretrained0_lr0.0003_numtrain28000_augment1_epochmult10_v0,16,0.999642848968506,0.9994642734527588,0.0003,28000,10,0
resnet50_set17_pretrained0_lr0.001_numtrain28000_augment1_epochmult10_v0,17,0.97003573179245,0.9628571271896362,0.001,28000,10,0
resnet50_set17_pretrained0_lr0.0006_numtrain28000_augment1_epochmult10_v0,17,0.9712142944335938,0.9626785516738892,0.0006,28000,10,0
resnet50_set17_pretrained0_lr0.0003_numtrain28000_augment1_epochmult10_v0,17,0.9717857241630554,0.9587500095367432,0.0003,28000,10,0
resnet50_set18_pretrained0_lr0.001_numtrain28000_augment1_epochmult10_v0,18,0.9976428747177124,0.9971428513526917,0.001,28000,10,0
resnet50_set18_pretrained0_lr0.0006_numtrain28000_augment1_epochmult10_v0,18,0.9973928332328796,0.9964285492897034,0.0006,28000,10,0
resnet50_set18_pretrained0_lr0.0003_numtrain28000_augment1_epochmult10_v0,18,0.9981785416603088,0.9960713982582092,0.0003,28000,10,0
resnet50_set19_pretrained0_lr0.001_numtrain28000_augment1_epochmult10_v0,19,0.8932499885559082,0.8878571391105652,0.001,28000,10,0
resnet50_set19_pretrained0_lr0.0006_numtrain28000_augment1_epochmult10_v0,19,0.901107132434845,0.8905357122421265,0.0006,28000,10,0
resnet50_set19_pretrained0_lr0.0003_numtrain28000_augment1_epochmult10_v0,19,0.8889642953872681,0.8721428513526917,0.0003,28000,10,0
resnet50_set20_pretrained0_lr0.001_numtrain28000_augment1_epochmult10_v0,20,0.9329999685287476,0.93535715341568,0.001,28000,10,0
resnet50_set20_pretrained0_lr0.0006_numtrain28000_augment1_epochmult10_v0,20,0.9330357313156128,0.9333928227424622,0.0006,28000,10,0
resnet50_set20_pretrained0_lr0.0003_numtrain28000_augment1_epochmult10_v0,20,0.9332500100135804,0.929107129573822,0.0003,28000,10,0
resnet50_set21_pretrained0_lr0.001_numtrain28000_augment1_epochmult10_v0,21,0.5141785740852356,0.5157142877578735,0.001,28000,10,0
resnet50_set21_pretrained0_lr0.0006_numtrain28000_augment1_epochmult10_v0,21,0.5239285826683044,0.5139285922050476,0.0006,28000,10,0
resnet50_set21_pretrained0_lr0.0003_numtrain28000_augment1_epochmult10_v0,21,0.7348214387893677,0.7355356812477112,0.0003,28000,10,0
resnet50_set22_pretrained0_lr0.001_numtrain28000_augment1_epochmult10_v0,22,0.9795356988906859,0.9787499904632568,0.001,28000,10,0
resnet50_set22_pretrained0_lr0.0006_numtrain28000_augment1_epochmult10_v0,22,0.9808571338653564,0.9823214411735536,0.0006,28000,10,0
resnet50_set22_pretrained0_lr0.0003_numtrain28000_augment1_epochmult10_v0,22,0.9792500138282776,0.9760714173316956,0.0003,28000,10,0
resnet50_set23_pretrained0_lr0.001_numtrain28000_augment1_epochmult10_v0,23,0.9998928308486938,1.0,0.001,28000,10,0
resnet50_set23_pretrained0_lr0.0006_numtrain28000_augment1_epochmult10_v0,23,0.9997857213020324,1.0,0.0006,28000,10,0
resnet50_set23_pretrained0_lr0.0003_numtrain28000_augment1_epochmult10_v0,23,0.999642848968506,1.0,0.0003,28000,10,0
resnet50_set1_pretrained0_lr0.001_numtrain1000_augment1_epochmult10_v0,1,1.0,0.7389285564422607,0.001,1000,280,0
resnet50_set1_pretrained0_lr0.0006_numtrain1000_augment1_epochmult10_v0,1,1.0,0.5251785516738892,0.0006,1000,280,0
resnet50_set1_pretrained0_lr0.0003_numtrain1000_augment1_epochmult10_v0,1,1.0,0.5408928394317627,0.0003,1000,280,0
resnet50_set2_pretrained0_lr0.001_numtrain1000_augment1_epochmult10_v0,2,1.0,1.0,0.001,1000,280,0
resnet50_set2_pretrained0_lr0.0006_numtrain1000_augment1_epochmult10_v0,2,1.0,0.9998214244842528,0.0006,1000,280,0
resnet50_set2_pretrained0_lr0.0003_numtrain1000_augment1_epochmult10_v0,2,1.0,0.9998214244842528,0.0003,1000,280,0
resnet50_set3_pretrained0_lr0.001_numtrain1000_augment1_epochmult10_v0,3,1.0,0.9971428513526917,0.001,1000,280,0
resnet50_set3_pretrained0_lr0.0006_numtrain1000_augment1_epochmult10_v0,3,1.0,0.9975000023841858,0.0006,1000,280,0
resnet50_set3_pretrained0_lr0.0003_numtrain1000_augment1_epochmult10_v0,3,1.0,0.9960713982582092,0.0003,1000,280,0
resnet50_set4_pretrained0_lr0.001_numtrain1000_augment1_epochmult10_v0,4,1.0,0.9971428513526917,0.001,1000,280,0
resnet50_set4_pretrained0_lr0.0006_numtrain1000_augment1_epochmult10_v0,4,1.0,0.9894642829895021,0.0006,1000,280,0
resnet50_set4_pretrained0_lr0.0003_numtrain1000_augment1_epochmult10_v0,4,1.0,0.9696428179740906,0.0003,1000,280,0
resnet50_set5_pretrained0_lr0.001_numtrain1000_augment1_epochmult10_v0,5,1.0,0.5071428418159485,0.001,1000,280,0
resnet50_set5_pretrained0_lr0.0006_numtrain1000_augment1_epochmult10_v0,5,1.0,0.5108928680419922,0.0006,1000,280,0
resnet50_set5_pretrained0_lr0.0003_numtrain1000_augment1_epochmult10_v0,5,1.0,0.5,0.0003,1000,280,0
resnet50_set6_pretrained0_lr0.001_numtrain1000_augment1_epochmult10_v0,6,1.0,0.649642825126648,0.001,1000,280,0
resnet50_set6_pretrained0_lr0.0006_numtrain1000_augment1_epochmult10_v0,6,1.0,0.608214259147644,0.0006,1000,280,0
resnet50_set6_pretrained0_lr0.0003_numtrain1000_augment1_epochmult10_v0,6,1.0,0.6108928322792053,0.0003,1000,280,0
resnet50_set7_pretrained0_lr0.001_numtrain1000_augment1_epochmult10_v0,7,1.0,0.5058928728103638,0.001,1000,280,0
resnet50_set7_pretrained0_lr0.0006_numtrain1000_augment1_epochmult10_v0,7,1.0,0.5133928656578064,0.0006,1000,280,0
resnet50_set7_pretrained0_lr0.0003_numtrain1000_augment1_epochmult10_v0,7,1.0,0.5064285397529602,0.0003,1000,280,0
resnet50_set8_pretrained0_lr0.001_numtrain1000_augment1_epochmult10_v0,8,1.0,0.9142857193946838,0.001,1000,280,0
resnet50_set8_pretrained0_lr0.0006_numtrain1000_augment1_epochmult10_v0,8,1.0,0.8994642496109009,0.0006,1000,280,0
resnet50_set8_pretrained0_lr0.0003_numtrain1000_augment1_epochmult10_v0,8,1.0,0.8989285826683044,0.0003,1000,280,0
resnet50_set9_pretrained0_lr0.001_numtrain1000_augment1_epochmult10_v0,9,1.0,0.99785715341568,0.001,1000,280,0
resnet50_set9_pretrained0_lr0.0006_numtrain1000_augment1_epochmult10_v0,9,1.0,0.9976785778999328,0.0006,1000,280,0
resnet50_set9_pretrained0_lr0.0003_numtrain1000_augment1_epochmult10_v0,9,1.0,0.9769642949104308,0.0003,1000,280,0
resnet50_set10_pretrained0_lr0.001_numtrain1000_augment1_epochmult10_v0,10,1.0,0.9950000047683716,0.001,1000,280,0
resnet50_set10_pretrained0_lr0.0006_numtrain1000_augment1_epochmult10_v0,10,1.0,0.993571400642395,0.0006,1000,280,0
resnet50_set10_pretrained0_lr0.0003_numtrain1000_augment1_epochmult10_v0,10,1.0,0.991428554058075,0.0003,1000,280,0
