n01491361_ILSVRC2012_val_00029300, 24
n03345487_ILSVRC2012_val_00008602, 19
n02363005_ILSVRC2012_val_00036380, 15
n04026417_ILSVRC2012_val_00019863, 224
n02134418_ILSVRC2012_val_00022698, 224
n03032252_ILSVRC2012_val_00036856, 224
n03661043_ILSVRC2012_val_00039081, 224
n09399592_ILSVRC2012_val_00039034, 8
n04311174_ILSVRC2012_val_00031667, 19
n01532829_ILSVRC2012_val_00000873, 224
n06785654_ILSVRC2012_val_00027470, 46
n02927161_ILSVRC2012_val_00003463, 224
n02089078_ILSVRC2012_val_00023966, 224
n03633091_ILSVRC2012_val_00006333, 224
n03775071_ILSVRC2012_val_00022216, 224
n03717622_ILSVRC2012_val_00049910, 19
n02280649_ILSVRC2012_val_00035898, 58
n02033041_ILSVRC2012_val_00035363, 30
n03929660_ILSVRC2012_val_00035611, 224
n04589890_ILSVRC2012_val_00005806, 224
n02093647_ILSVRC2012_val_00033269, 15
n03016953_ILSVRC2012_val_00014557, 24
n01755581_ILSVRC2012_val_00038859, 30
n04049303_ILSVRC2012_val_00010839, 224
n02489166_ILSVRC2012_val_00019235, 37
n07753592_ILSVRC2012_val_00012444, 224
n02526121_ILSVRC2012_val_00009459, 224
n02730930_ILSVRC2012_val_00003567, 30
n02974003_ILSVRC2012_val_00023858, 224
n02109961_ILSVRC2012_val_00029313, 46
n04141076_ILSVRC2012_val_00006682, 24
n11939491_ILSVRC2012_val_00034896, 224
n07930864_ILSVRC2012_val_00009249, 224
n01739381_ILSVRC2012_val_00046490, 19
n01820546_ILSVRC2012_val_00005925, 224
n04266014_ILSVRC2012_val_00049754, 24
n02088466_ILSVRC2012_val_00014631, 224
n03930313_ILSVRC2012_val_00040562, 15
n02110627_ILSVRC2012_val_00006933, 58
n02108422_ILSVRC2012_val_00029363, 58
n02264363_ILSVRC2012_val_00011783, 224
n07584110_ILSVRC2012_val_00006798, 143
n03417042_ILSVRC2012_val_00004119, 224
n04263257_ILSVRC2012_val_00008514, 37
n01695060_ILSVRC2012_val_00022470, 30
n03794056_ILSVRC2012_val_00000430, 143
n04523525_ILSVRC2012_val_00049794, 224
n02190166_ILSVRC2012_val_00038774, 24
n12144580_ILSVRC2012_val_00038919, 46
n02403003_ILSVRC2012_val_00013190, 30
n03954731_ILSVRC2012_val_00039935, 91
n04004767_ILSVRC2012_val_00043636, 224
n02814533_ILSVRC2012_val_00024318, 224
n01614925_ILSVRC2012_val_00046564, 19
n04370456_ILSVRC2012_val_00018171, 224
n03838899_ILSVRC2012_val_00017944, 224
n02165105_ILSVRC2012_val_00031488, 24
n04254680_ILSVRC2012_val_00008133, 30
n02916936_ILSVRC2012_val_00012520, 224
n02028035_ILSVRC2012_val_00019389, 12
n02835271_ILSVRC2012_val_00009228, 15
n04389033_ILSVRC2012_val_00046843, 46
n04228054_ILSVRC2012_val_00024679, 24
n02268853_ILSVRC2012_val_00004215, 30
n03717622_ILSVRC2012_val_00010030, 224
n03877845_ILSVRC2012_val_00003937, 224
n03041632_ILSVRC2012_val_00040170, 224
n02219486_ILSVRC2012_val_00038010, 19
n03877845_ILSVRC2012_val_00014955, 224
n02437312_ILSVRC2012_val_00016586, 15
n02167151_ILSVRC2012_val_00032023, 19
n12985857_ILSVRC2012_val_00004103, 19
n03958227_ILSVRC2012_val_00015775, 224
n03459775_ILSVRC2012_val_00004928, 24
n02107312_ILSVRC2012_val_00014780, 58
n03874293_ILSVRC2012_val_00017941, 30
n03924679_ILSVRC2012_val_00022650, 30
n02074367_ILSVRC2012_val_00033885, 58
n02480495_ILSVRC2012_val_00017493, 224
n03255030_ILSVRC2012_val_00010730, 224
n02165105_ILSVRC2012_val_00000768, 224
n03788195_ILSVRC2012_val_00044234, 24
n02927161_ILSVRC2012_val_00011432, 224
n02100583_ILSVRC2012_val_00018982, 224
n02497673_ILSVRC2012_val_00011144, 15
n02841315_ILSVRC2012_val_00012679, 224
n07747607_ILSVRC2012_val_00033807, 224
n03995372_ILSVRC2012_val_00048981, 224
n02107142_ILSVRC2012_val_00028584, 224
n02504013_ILSVRC2012_val_00004882, 91
n01641577_ILSVRC2012_val_00013974, 58
n03223299_ILSVRC2012_val_00048302, 224
n07697313_ILSVRC2012_val_00037389, 224
n04540053_ILSVRC2012_val_00012002, 224
n01530575_ILSVRC2012_val_00045172, 24
n03673027_ILSVRC2012_val_00034696, 224
n02077923_ILSVRC2012_val_00026593, 30
n04070727_ILSVRC2012_val_00005383, 46
n03384352_ILSVRC2012_val_00005128, 19
n03876231_ILSVRC2012_val_00004827, 224
n03769881_ILSVRC2012_val_00031349, 224
n01872401_ILSVRC2012_val_00030772, 37
n02843684_ILSVRC2012_val_00013138, 224
n01910747_ILSVRC2012_val_00035964, 73
n03764736_ILSVRC2012_val_00026080, 224
n04254120_ILSVRC2012_val_00044604, 224
n02123394_ILSVRC2012_val_00031180, 30
n03532672_ILSVRC2012_val_00005540, 224
n02099712_ILSVRC2012_val_00009984, 224
n02437312_ILSVRC2012_val_00019200, 24
n02165456_ILSVRC2012_val_00036251, 24
n03871628_ILSVRC2012_val_00042417, 224
n04344873_ILSVRC2012_val_00014105, 224
n02093754_ILSVRC2012_val_00004511, 15
n07613480_ILSVRC2012_val_00004874, 30
n03697007_ILSVRC2012_val_00002979, 24
n02108089_ILSVRC2012_val_00018604, 224
n03733281_ILSVRC2012_val_00000118, 15
n03133878_ILSVRC2012_val_00033981, 24
n02319095_ILSVRC2012_val_00045604, 24
n01728572_ILSVRC2012_val_00003569, 58
n03991062_ILSVRC2012_val_00024716, 30
n02892767_ILSVRC2012_val_00000808, 224
n02441942_ILSVRC2012_val_00007735, 30
n04141076_ILSVRC2012_val_00008159, 24
n02168699_ILSVRC2012_val_00000926, 224
n02268853_ILSVRC2012_val_00002893, 37
n02328150_ILSVRC2012_val_00029632, 224
n03891251_ILSVRC2012_val_00034159, 10
n04081281_ILSVRC2012_val_00045105, 224
n02094433_ILSVRC2012_val_00025821, 224
n03662601_ILSVRC2012_val_00014119, 37
n04482393_ILSVRC2012_val_00029793, 224
n03109150_ILSVRC2012_val_00045314, 37
n02978881_ILSVRC2012_val_00001437, 224
n02281406_ILSVRC2012_val_00024754, 12
n02443484_ILSVRC2012_val_00014233, 224
n02128385_ILSVRC2012_val_00042868, 224
n02799071_ILSVRC2012_val_00036898, 24
n03930630_ILSVRC2012_val_00023096, 30
n01883070_ILSVRC2012_val_00045335, 37
n09246464_ILSVRC2012_val_00048191, 224
n04599235_ILSVRC2012_val_00011864, 224
n04515003_ILSVRC2012_val_00018323, 30
n01687978_ILSVRC2012_val_00046258, 12
n03710193_ILSVRC2012_val_00043368, 37
n02423022_ILSVRC2012_val_00013750, 24
n04487081_ILSVRC2012_val_00008255, 37
n03775546_ILSVRC2012_val_00011309, 19
n04026417_ILSVRC2012_val_00002590, 224
n03791053_ILSVRC2012_val_00010636, 15
n04229816_ILSVRC2012_val_00008480, 224
n03372029_ILSVRC2012_val_00025781, 224
n03877472_ILSVRC2012_val_00019632, 224
n02843684_ILSVRC2012_val_00025965, 19
n02086646_ILSVRC2012_val_00008198, 24
n02105641_ILSVRC2012_val_00005905, 37
n03291819_ILSVRC2012_val_00048896, 224
n02788148_ILSVRC2012_val_00049098, 224
n07753113_ILSVRC2012_val_00032827, 15
n02966687_ILSVRC2012_val_00021519, 224
n02112018_ILSVRC2012_val_00039662, 24
n02280649_ILSVRC2012_val_00016780, 37
n02089867_ILSVRC2012_val_00035767, 224
n02790996_ILSVRC2012_val_00022044, 224
n03017168_ILSVRC2012_val_00020461, 224
n02085936_ILSVRC2012_val_00034259, 224
n02437616_ILSVRC2012_val_00037380, 30
n02093754_ILSVRC2012_val_00020832, 224
n02606052_ILSVRC2012_val_00033908, 12
n04074963_ILSVRC2012_val_00028651, 24
n04525038_ILSVRC2012_val_00043142, 224
n03838899_ILSVRC2012_val_00011452, 30
n03709823_ILSVRC2012_val_00007848, 37
n04332243_ILSVRC2012_val_00048376, 224
n01616318_ILSVRC2012_val_00040205, 46
n07734744_ILSVRC2012_val_00019483, 224
n02066245_ILSVRC2012_val_00015203, 37
n04192698_ILSVRC2012_val_00047516, 224
n02105251_ILSVRC2012_val_00021946, 224
n04009552_ILSVRC2012_val_00033020, 37
n02110627_ILSVRC2012_val_00029382, 224
n02091635_ILSVRC2012_val_00041912, 224
n03045698_ILSVRC2012_val_00000750, 224
n07248320_ILSVRC2012_val_00034391, 224
n02002724_ILSVRC2012_val_00006487, 19
n03832673_ILSVRC2012_val_00005161, 179
n03775071_ILSVRC2012_val_00035830, 224
n02892201_ILSVRC2012_val_00017464, 37
n02025239_ILSVRC2012_val_00009210, 15
n02457408_ILSVRC2012_val_00042228, 24
n03124170_ILSVRC2012_val_00020143, 37
n02106166_ILSVRC2012_val_00009862, 30
n03843555_ILSVRC2012_val_00047130, 91
n02105412_ILSVRC2012_val_00017056, 58
n04263257_ILSVRC2012_val_00037205, 46
n02687172_ILSVRC2012_val_00042849, 224
n03133878_ILSVRC2012_val_00012686, 30
n04154565_ILSVRC2012_val_00041073, 224
n01981276_ILSVRC2012_val_00021241, 224
n03947888_ILSVRC2012_val_00012447, 15
n03930313_ILSVRC2012_val_00028528, 37
n03249569_ILSVRC2012_val_00040561, 19
n02277742_ILSVRC2012_val_00013386, 30
n02437312_ILSVRC2012_val_00013553, 224
n04317175_ILSVRC2012_val_00035258, 224
n03868242_ILSVRC2012_val_00024045, 224
n04456115_ILSVRC2012_val_00035180, 24
n02092339_ILSVRC2012_val_00004974, 224
n02486410_ILSVRC2012_val_00003454, 8
n02108422_ILSVRC2012_val_00008061, 46
n03793489_ILSVRC2012_val_00013161, 224
n02704792_ILSVRC2012_val_00006872, 224
n09421951_ILSVRC2012_val_00046434, 30
n01855032_ILSVRC2012_val_00039957, 224
n02319095_ILSVRC2012_val_00029492, 30
n04162706_ILSVRC2012_val_00011299, 30
n02782093_ILSVRC2012_val_00022462, 37
n07718472_ILSVRC2012_val_00025124, 30
n02840245_ILSVRC2012_val_00045462, 46
n02484975_ILSVRC2012_val_00037276, 24
n02951358_ILSVRC2012_val_00015044, 19
n02106550_ILSVRC2012_val_00049351, 3
n03452741_ILSVRC2012_val_00028207, 224
n02089867_ILSVRC2012_val_00033233, 224
n02106550_ILSVRC2012_val_00045446, 30
n02114855_ILSVRC2012_val_00020256, 224
n02799071_ILSVRC2012_val_00045333, 224
n04065272_ILSVRC2012_val_00011890, 30
n02086646_ILSVRC2012_val_00004085, 30
n07583066_ILSVRC2012_val_00004206, 224
n09428293_ILSVRC2012_val_00049343, 224
n03825788_ILSVRC2012_val_00027341, 19
n07875152_ILSVRC2012_val_00046458, 30
n02086646_ILSVRC2012_val_00020031, 30
n03676483_ILSVRC2012_val_00029251, 37
n03197337_ILSVRC2012_val_00011421, 224
n01775062_ILSVRC2012_val_00039854, 46
n02971356_ILSVRC2012_val_00018554, 224
n02321529_ILSVRC2012_val_00021501, 24
n03937543_ILSVRC2012_val_00005967, 24
n01847000_ILSVRC2012_val_00019313, 224
n03131574_ILSVRC2012_val_00022199, 224
n02917067_ILSVRC2012_val_00022891, 224
n03759954_ILSVRC2012_val_00012172, 224
n03933933_ILSVRC2012_val_00041214, 19
n01873310_ILSVRC2012_val_00007800, 224
n02134084_ILSVRC2012_val_00042273, 224
n02206856_ILSVRC2012_val_00038129, 24
n04239074_ILSVRC2012_val_00026414, 30
n01855032_ILSVRC2012_val_00043899, 30
n04254680_ILSVRC2012_val_00047298, 37
n02749479_ILSVRC2012_val_00018213, 224
n03944341_ILSVRC2012_val_00030282, 143
n01944390_ILSVRC2012_val_00008747, 24
n01440764_ILSVRC2012_val_00039905, 24
n03291819_ILSVRC2012_val_00021245, 58
n03424325_ILSVRC2012_val_00027495, 24
n01855032_ILSVRC2012_val_00006555, 24
n02105412_ILSVRC2012_val_00006002, 224
n04442312_ILSVRC2012_val_00009258, 143
n02110958_ILSVRC2012_val_00001646, 30
n03930313_ILSVRC2012_val_00031316, 24
n02489166_ILSVRC2012_val_00018502, 15
n04037443_ILSVRC2012_val_00049700, 30
n04389033_ILSVRC2012_val_00047296, 30
n03425413_ILSVRC2012_val_00029203, 224
n04273569_ILSVRC2012_val_00001204, 46
n03110669_ILSVRC2012_val_00013933, 19
n02865351_ILSVRC2012_val_00025321, 37
n03888605_ILSVRC2012_val_00000240, 224
n07697537_ILSVRC2012_val_00029037, 224
n12985857_ILSVRC2012_val_00008830, 15
n02091134_ILSVRC2012_val_00007933, 30
n02108422_ILSVRC2012_val_00004963, 24
n03445924_ILSVRC2012_val_00007926, 24
n01945685_ILSVRC2012_val_00016138, 30
n01534433_ILSVRC2012_val_00021650, 37
n07932039_ILSVRC2012_val_00012666, 224
n02963159_ILSVRC2012_val_00000061, 224
n01677366_ILSVRC2012_val_00046407, 37
n02687172_ILSVRC2012_val_00012111, 30
n02113712_ILSVRC2012_val_00001234, 224
n03763968_ILSVRC2012_val_00021649, 30
n03450230_ILSVRC2012_val_00004145, 224
n02492035_ILSVRC2012_val_00004190, 30
n01729977_ILSVRC2012_val_00040468, 19
n02423022_ILSVRC2012_val_00046413, 19
n03459775_ILSVRC2012_val_00016475, 19
n03649909_ILSVRC2012_val_00001839, 30
n03089624_ILSVRC2012_val_00025257, 224
n01819313_ILSVRC2012_val_00023805, 19
n02494079_ILSVRC2012_val_00024582, 37
n01770081_ILSVRC2012_val_00015566, 37
n03400231_ILSVRC2012_val_00009309, 19
n04493381_ILSVRC2012_val_00020768, 224
n02859443_ILSVRC2012_val_00019378, 224
n02091467_ILSVRC2012_val_00029705, 24
n02666196_ILSVRC2012_val_00016236, 19
n04380533_ILSVRC2012_val_00033933, 224
n01532829_ILSVRC2012_val_00013456, 224
n04554684_ILSVRC2012_val_00001704, 224
n01739381_ILSVRC2012_val_00036082, 224
n04099969_ILSVRC2012_val_00001953, 224
n04398044_ILSVRC2012_val_00022342, 224
n04357314_ILSVRC2012_val_00031832, 224
n01773797_ILSVRC2012_val_00018439, 30
n01855032_ILSVRC2012_val_00011874, 19
n04347754_ILSVRC2012_val_00004204, 37
n03109150_ILSVRC2012_val_00020055, 24
n02895154_ILSVRC2012_val_00022803, 224
n03759954_ILSVRC2012_val_00021431, 224
n02666196_ILSVRC2012_val_00009486, 46
n04435653_ILSVRC2012_val_00005098, 91
n01797886_ILSVRC2012_val_00022110, 19
n02101556_ILSVRC2012_val_00026056, 30
n03196217_ILSVRC2012_val_00010672, 224
n03063689_ILSVRC2012_val_00014889, 91
n09399592_ILSVRC2012_val_00038398, 224
n03891251_ILSVRC2012_val_00027250, 224
n02128385_ILSVRC2012_val_00027464, 19
n03207941_ILSVRC2012_val_00045536, 19
n03445777_ILSVRC2012_val_00040694, 46
n01534433_ILSVRC2012_val_00003878, 224
n02687172_ILSVRC2012_val_00026474, 10
n02791270_ILSVRC2012_val_00018446, 224
n02098105_ILSVRC2012_val_00041118, 24
n04542943_ILSVRC2012_val_00015462, 37
n02504013_ILSVRC2012_val_00020120, 179
n02102177_ILSVRC2012_val_00006404, 37
n01855032_ILSVRC2012_val_00027070, 224
n04037443_ILSVRC2012_val_00022017, 224
n01632458_ILSVRC2012_val_00010462, 15
n03447721_ILSVRC2012_val_00002831, 224
n01990800_ILSVRC2012_val_00003738, 30
n02113023_ILSVRC2012_val_00035161, 19
n02098105_ILSVRC2012_val_00016567, 37
n02114367_ILSVRC2012_val_00031414, 91
n04228054_ILSVRC2012_val_00045586, 24
n04592741_ILSVRC2012_val_00016728, 224
n01860187_ILSVRC2012_val_00007423, 73
n01698640_ILSVRC2012_val_00011243, 19
n02892201_ILSVRC2012_val_00032820, 12
n03047690_ILSVRC2012_val_00015235, 30
n02823750_ILSVRC2012_val_00046210, 30
n07932039_ILSVRC2012_val_00015438, 224
n02606052_ILSVRC2012_val_00045650, 46
n03160309_ILSVRC2012_val_00044900, 224
n03355925_ILSVRC2012_val_00038515, 24
n02106382_ILSVRC2012_val_00011917, 224
n02226429_ILSVRC2012_val_00000972, 30
n04131690_ILSVRC2012_val_00011286, 37
n03956157_ILSVRC2012_val_00039438, 30
n03876231_ILSVRC2012_val_00023132, 30
n03240683_ILSVRC2012_val_00019875, 15
n02494079_ILSVRC2012_val_00005135, 30
n04252077_ILSVRC2012_val_00035620, 46
n03314780_ILSVRC2012_val_00042169, 224
n02066245_ILSVRC2012_val_00048116, 224
n02097130_ILSVRC2012_val_00041568, 224
n01693334_ILSVRC2012_val_00023753, 224
n02398521_ILSVRC2012_val_00027472, 224
n02814533_ILSVRC2012_val_00029057, 224
n01914609_ILSVRC2012_val_00046254, 224
n02497673_ILSVRC2012_val_00014914, 224
n02965783_ILSVRC2012_val_00031605, 30
n02085782_ILSVRC2012_val_00001225, 19
n02481823_ILSVRC2012_val_00020869, 91
n04152593_ILSVRC2012_val_00041664, 224
n02229544_ILSVRC2012_val_00016276, 30
n03481172_ILSVRC2012_val_00045395, 224
n03825788_ILSVRC2012_val_00026454, 24
n01817953_ILSVRC2012_val_00028862, 46
n02966193_ILSVRC2012_val_00030310, 37
n01749939_ILSVRC2012_val_00006403, 224
n01990800_ILSVRC2012_val_00041213, 224
n04317175_ILSVRC2012_val_00029515, 24
n04141076_ILSVRC2012_val_00015586, 19
n02119789_ILSVRC2012_val_00033561, 37
n03759954_ILSVRC2012_val_00009296, 30
n02504458_ILSVRC2012_val_00017097, 37
n07873807_ILSVRC2012_val_00007709, 30
n01484850_ILSVRC2012_val_00002338, 19
n02128757_ILSVRC2012_val_00019816, 15
n04347754_ILSVRC2012_val_00020107, 224
n03372029_ILSVRC2012_val_00048013, 224
n03127925_ILSVRC2012_val_00034903, 224
n01943899_ILSVRC2012_val_00010096, 224
n02708093_ILSVRC2012_val_00002853, 37
n01644900_ILSVRC2012_val_00004427, 224
n04476259_ILSVRC2012_val_00034739, 224
n02892767_ILSVRC2012_val_00005423, 224
n04592741_ILSVRC2012_val_00019965, 24
n02123159_ILSVRC2012_val_00016000, 224
n01819313_ILSVRC2012_val_00030734, 58
n02113624_ILSVRC2012_val_00044258, 224
n03481172_ILSVRC2012_val_00021070, 58
n03100240_ILSVRC2012_val_00022770, 30
n03180011_ILSVRC2012_val_00021924, 224
n01443537_ILSVRC2012_val_00012880, 15
n02086646_ILSVRC2012_val_00045683, 58
n03240683_ILSVRC2012_val_00036010, 30
n03602883_ILSVRC2012_val_00042275, 224
n04548280_ILSVRC2012_val_00035461, 224
n02999410_ILSVRC2012_val_00009078, 12
n04428191_ILSVRC2012_val_00038893, 224
n02835271_ILSVRC2012_val_00038409, 24
n04423845_ILSVRC2012_val_00026002, 37
n02129165_ILSVRC2012_val_00041380, 24
n04162706_ILSVRC2012_val_00004653, 114
n03538406_ILSVRC2012_val_00010304, 224
n04376876_ILSVRC2012_val_00028876, 24
n04033901_ILSVRC2012_val_00011060, 19
n03218198_ILSVRC2012_val_00017861, 19
n03584254_ILSVRC2012_val_00039654, 46
n01806567_ILSVRC2012_val_00035938, 12
n01644900_ILSVRC2012_val_00039996, 224
n03047690_ILSVRC2012_val_00045240, 224
n02870880_ILSVRC2012_val_00036412, 15
n03425413_ILSVRC2012_val_00000732, 19
n03873416_ILSVRC2012_val_00026884, 224
n03290653_ILSVRC2012_val_00028921, 19
n02486410_ILSVRC2012_val_00014339, 15
n09229709_ILSVRC2012_val_00012252, 24
n03272010_ILSVRC2012_val_00015207, 30
n01664065_ILSVRC2012_val_00034795, 224
n04423845_ILSVRC2012_val_00020705, 224
n01797886_ILSVRC2012_val_00018626, 24
n02807133_ILSVRC2012_val_00011615, 37
n02536864_ILSVRC2012_val_00029638, 15
n04560804_ILSVRC2012_val_00043815, 224
n04259630_ILSVRC2012_val_00032722, 37
n04074963_ILSVRC2012_val_00040768, 12
n02111129_ILSVRC2012_val_00018736, 24
n07716906_ILSVRC2012_val_00038602, 15
n02091831_ILSVRC2012_val_00031817, 224
n02930766_ILSVRC2012_val_00041065, 224
n03065424_ILSVRC2012_val_00001981, 37
n02783161_ILSVRC2012_val_00010497, 224
n02268443_ILSVRC2012_val_00031167, 24
n01756291_ILSVRC2012_val_00001706, 224
n03743016_ILSVRC2012_val_00034079, 24
n04153751_ILSVRC2012_val_00017334, 19
n02894605_ILSVRC2012_val_00013066, 224
n03899768_ILSVRC2012_val_00017640, 224
n02101388_ILSVRC2012_val_00017331, 30
n03018349_ILSVRC2012_val_00047905, 46
n01784675_ILSVRC2012_val_00047329, 224
n03770439_ILSVRC2012_val_00046676, 224
n02114855_ILSVRC2012_val_00039736, 19
n03388549_ILSVRC2012_val_00016373, 224
n02802426_ILSVRC2012_val_00038836, 24
n01945685_ILSVRC2012_val_00008468, 24
n01644900_ILSVRC2012_val_00044288, 224
n03045698_ILSVRC2012_val_00040125, 179
n03950228_ILSVRC2012_val_00028744, 224
n01616318_ILSVRC2012_val_00023247, 58
n02094258_ILSVRC2012_val_00000922, 19
n04200800_ILSVRC2012_val_00006159, 19
n04389033_ILSVRC2012_val_00034135, 37
n03602883_ILSVRC2012_val_00022516, 224
n03776460_ILSVRC2012_val_00026255, 30
n04515003_ILSVRC2012_val_00003521, 224
n03291819_ILSVRC2012_val_00037426, 37
n04209133_ILSVRC2012_val_00029797, 224
n02966687_ILSVRC2012_val_00048395, 224
n04392985_ILSVRC2012_val_00029362, 224
n03445924_ILSVRC2012_val_00013694, 37
n04254680_ILSVRC2012_val_00040853, 12
n02093991_ILSVRC2012_val_00043404, 224
n04370456_ILSVRC2012_val_00005163, 224
n02364673_ILSVRC2012_val_00029982, 12
n03788365_ILSVRC2012_val_00001664, 37
n04336792_ILSVRC2012_val_00023176, 24
n02966687_ILSVRC2012_val_00007100, 224
n02951585_ILSVRC2012_val_00023278, 224
n07768694_ILSVRC2012_val_00012753, 46
n04591713_ILSVRC2012_val_00027648, 224
n02051845_ILSVRC2012_val_00043668, 24
n01981276_ILSVRC2012_val_00030504, 19
n07697537_ILSVRC2012_val_00016179, 10
n02730930_ILSVRC2012_val_00000771, 46
n03461385_ILSVRC2012_val_00026381, 224
n01824575_ILSVRC2012_val_00011697, 224
n04037443_ILSVRC2012_val_00012769, 224
n02279972_ILSVRC2012_val_00046963, 224
n02071294_ILSVRC2012_val_00033565, 224
n02219486_ILSVRC2012_val_00036555, 224
n02410509_ILSVRC2012_val_00028745, 46
n07579787_ILSVRC2012_val_00031538, 224
n03478589_ILSVRC2012_val_00028658, 37
n02692877_ILSVRC2012_val_00006977, 24
n02092339_ILSVRC2012_val_00022824, 46
n04493381_ILSVRC2012_val_00031207, 224
n02104029_ILSVRC2012_val_00014775, 224
n01824575_ILSVRC2012_val_00002263, 24
n03884397_ILSVRC2012_val_00013954, 30
n03032252_ILSVRC2012_val_00031248, 24
n02825657_ILSVRC2012_val_00004291, 30
